,Unnamed: 0,Links,DateTimeScraped,DateScraped,Price,Featured,Year,Month,WeekNumber,Fortnight
118,118,https://www.rightmove.co.uk/properties/128658596#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,900000,0,2022,11-2022,45,22
119,119,https://www.rightmove.co.uk/properties/126270983#/?channel=RES_BUY,2022-11-06 16:22:00,2022-11-06,750000,0,2022,11-2022,45,22
120,120,https://www.rightmove.co.uk/properties/128951672#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1249500,0,2022,11-2022,46,23
121,121,https://www.rightmove.co.uk/properties/128899511#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1450000,0,2022,11-2022,46,23
122,122,https://www.rightmove.co.uk/properties/128141159#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,925000,0,2022,11-2022,46,23
123,123,https://www.rightmove.co.uk/properties/128945093#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1475000,0,2022,11-2022,46,23
124,124,https://www.rightmove.co.uk/properties/128824616#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1500000,0,2022,11-2022,46,23
125,125,https://www.rightmove.co.uk/properties/129012050#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1000000,0,2022,11-2022,46,23
126,126,https://www.rightmove.co.uk/properties/128917148#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,475000,0,2022,11-2022,46,23
127,127,https://www.rightmove.co.uk/properties/128815439#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1160000,0,2022,11-2022,46,23
128,128,https://www.rightmove.co.uk/properties/127248920#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,850000,0,2022,11-2022,46,23
129,129,https://www.rightmove.co.uk/properties/126547709#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,799950,0,2022,11-2022,46,23
130,130,https://www.rightmove.co.uk/properties/128927597#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,650000,0,2022,11-2022,46,23
131,131,https://www.rightmove.co.uk/properties/127754618#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,525000,0,2022,11-2022,46,23
132,132,https://www.rightmove.co.uk/properties/128037164#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1200000,0,2022,11-2022,46,23
133,133,https://www.rightmove.co.uk/properties/123426785#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1525000,0,2022,11-2022,46,23
134,134,https://www.rightmove.co.uk/properties/128947184#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,850000,0,2022,11-2022,46,23
135,135,https://www.rightmove.co.uk/properties/128970788#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,550000,0,2022,11-2022,46,23
136,136,https://www.rightmove.co.uk/properties/128959169#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,825000,0,2022,11-2022,46,23
137,137,https://www.rightmove.co.uk/properties/128966762#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,800000,0,2022,11-2022,46,23
138,138,https://www.rightmove.co.uk/properties/85753578#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,550000,0,2022,11-2022,46,23
139,139,https://www.rightmove.co.uk/properties/128890523#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,2275000,0,2022,11-2022,46,23
140,140,https://www.rightmove.co.uk/properties/128909561#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1695000,0,2022,11-2022,46,23
141,141,https://www.rightmove.co.uk/properties/128514386#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,995000,0,2022,11-2022,46,23
142,142,https://www.rightmove.co.uk/properties/128818424#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,225000,0,2022,11-2022,46,23
143,143,https://www.rightmove.co.uk/properties/128888120#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1250000,0,2022,11-2022,46,23
144,144,https://www.rightmove.co.uk/properties/128946398#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,2500000,0,2022,11-2022,46,23
145,145,https://www.rightmove.co.uk/properties/128983553#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1200000,0,2022,11-2022,46,23
146,146,https://www.rightmove.co.uk/properties/128831963#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1250000,0,2022,11-2022,46,23
147,147,https://www.rightmove.co.uk/properties/128894894#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,650000,0,2022,11-2022,46,23
148,148,https://www.rightmove.co.uk/properties/128890529#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,3200000,0,2022,11-2022,46,23
149,149,https://www.rightmove.co.uk/properties/128834336#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1195000,0,2022,11-2022,46,23
150,150,https://www.rightmove.co.uk/properties/128885594#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1075000,0,2022,11-2022,46,23
151,151,https://www.rightmove.co.uk/properties/129007352#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,648000,0,2022,11-2022,46,23
152,152,https://www.rightmove.co.uk/properties/128998178#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,450000,0,2022,11-2022,46,23
153,153,https://www.rightmove.co.uk/properties/128872691#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,475000,0,2022,11-2022,46,23
154,154,https://www.rightmove.co.uk/properties/127615166#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,695000,0,2022,11-2022,46,23
155,155,https://www.rightmove.co.uk/properties/126854156#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1000000,0,2022,11-2022,46,23
156,156,https://www.rightmove.co.uk/properties/129011162#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,750000,0,2022,11-2022,46,23
157,157,https://www.rightmove.co.uk/properties/128278568#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,975000,0,2022,11-2022,46,23
158,158,https://www.rightmove.co.uk/properties/128988614#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1500000,0,2022,11-2022,46,23
159,159,https://www.rightmove.co.uk/properties/123196955#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1065000,0,2022,11-2022,46,23
160,160,https://www.rightmove.co.uk/properties/128972414#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,925000,0,2022,11-2022,46,23
161,161,https://www.rightmove.co.uk/properties/127801736#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1425000,0,2022,11-2022,46,23
162,162,https://www.rightmove.co.uk/properties/128921012#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,699999,0,2022,11-2022,46,23
163,163,https://www.rightmove.co.uk/properties/128922782#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,925000,0,2022,11-2022,46,23
164,164,https://www.rightmove.co.uk/properties/128986010#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,900000,0,2022,11-2022,46,23
165,165,https://www.rightmove.co.uk/properties/128258651#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,750000,0,2022,11-2022,46,23
166,166,https://www.rightmove.co.uk/properties/128224787#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,895000,0,2022,11-2022,46,23
167,167,https://www.rightmove.co.uk/properties/128909255#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,650000,0,2022,11-2022,46,23
168,168,https://www.rightmove.co.uk/properties/128899631#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1200000,0,2022,11-2022,46,23
169,169,https://www.rightmove.co.uk/properties/128997878#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,995000,0,2022,11-2022,46,23
170,170,https://www.rightmove.co.uk/properties/128844752#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1195000,0,2022,11-2022,46,23
171,171,https://www.rightmove.co.uk/properties/127339733#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,795000,0,2022,11-2022,46,23
172,172,https://www.rightmove.co.uk/properties/128928137#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,800000,0,2022,11-2022,46,23
173,173,https://www.rightmove.co.uk/properties/128908472#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,650000,0,2022,11-2022,46,23
174,174,https://www.rightmove.co.uk/properties/128852429#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,700000,0,2022,11-2022,46,23
175,175,https://www.rightmove.co.uk/properties/128880341#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,925000,0,2022,11-2022,46,23
176,176,https://www.rightmove.co.uk/properties/128987417#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,1350000,0,2022,11-2022,46,23
177,177,https://www.rightmove.co.uk/properties/125769230#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,695000,0,2022,11-2022,46,23
178,178,https://www.rightmove.co.uk/properties/123762215#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,750000,0,2022,11-2022,46,23
179,179,https://www.rightmove.co.uk/properties/128153903#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,600000,0,2022,11-2022,46,23
180,180,https://www.rightmove.co.uk/properties/128953571#/?channel=RES_BUY,2022-11-13 20:26:00,2022-11-13,2700000,0,2022,11-2022,46,23
